near_schools,es,ms,hs,public_school,charter_school,anc_id,nbh_cluster,nbh_cluster_names,smd_id,ward_name,census_tract,comp_plan_area,objectid,location,xcoord,ycoord,issue_date,issue_time,issuing_agency_code,issuing_agency_name,issuing_agency_short,violation_code,violation_process_desc,plate_state,accident_indicator,disposition_code,disposition_type,disposition_date,fine_amount,total_paid,penalty_1,penalty_2,penalty_3,penalty_4,penalty_5,rp_mult_owner_no,body_style,latitude,longitude,mar_id,gis_last_mod_dttm,drv_lic_state,dob_year,veh_year,veh_make,geography,latitude_2,longitude_2,distance_to_nearest_block,aadt,totaltravellanes,totalcrosssectionwidth,totalparkinglanes,doubleyellow_line,summarydirection,num_sides_w_sidewalks,sidewalk_width,speed_limit,dcfunctionalclass,nhstype,routename,block_objectid,dcfunctionalclass_desc,distance_to_nearest_intersection,intersectionid,intersection_type,int_road_types,int_road_block_ids,street_names
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7504172,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-09 04:00:00+00:00,06:33:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT, ,,13,Liable - System,2018-07-18 04:00:00+00:00,100.0,240,100.0,,4.0,,,,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,DC,1947.0,12.0,TOYT,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7504282,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-09 04:00:00+00:00,10:03:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T120,SPEED 16-20 MPH OVER THE SPEED LIMIT, ,,13,Liable - System,2018-07-18 04:00:00+00:00,150.0,0,150.0,,6.0,,,,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,,,,KAWK,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7504300,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-09 04:00:00+00:00,10:32:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT, ,,45,Dismissed,2018-06-01 04:00:00+00:00,100.0,0,,,,,,,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,DC,1970.0,12.0,CHEV,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7504307,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-09 04:00:00+00:00,10:42:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT, ,,,Other,,100.0,100,,,,,,,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,DC,1968.0,14.0,CHEV,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7504427,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-09 04:00:00+00:00,11:47:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT, ,,,Other,,100.0,100,,,,,,20679000,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,,,,DODG,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7504592,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-09 04:00:00+00:00,03:33:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT, ,,13,Liable - System,2018-07-18 04:00:00+00:00,100.0,0,100.0,,4.0,,,,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,,,,LEXS,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7505259,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-09 04:00:00+00:00,06:52:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT, ,,13,Liable - System,2018-08-28 04:00:00+00:00,100.0,0,100.0,,4.0,,,,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,DC,1995.0,16.0,NISS,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7505319,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-10 04:00:00+00:00,07:01:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT, ,,,Other,,100.0,100,,,,,,,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,,,14.0,FORD,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7505323,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-10 04:00:00+00:00,07:05:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT, ,,13,Liable - System,2018-07-18 04:00:00+00:00,100.0,200,100.0,,,,,,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,,,,LEXS,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7508134,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-11 04:00:00+00:00,09:03:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT, ,,13,Liable - System,2018-07-24 04:00:00+00:00,100.0,240,100.0,,4.0,,,,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,DC,1968.0,18.0,NISS,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7508155,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-11 04:00:00+00:00,09:32:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT, ,,13,Liable - System,2018-07-24 04:00:00+00:00,100.0,0,100.0,,4.0,,,,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,,,,DODG,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7508204,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-11 04:00:00+00:00,10:39:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT, ,,,Other,,100.0,100,,,,,,950271194,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,,,,TOYT,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7510125,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-11 04:00:00+00:00,05:51:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT, ,,13,Liable - System,2018-07-24 04:00:00+00:00,100.0,0,100.0,,4.0,,,,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,,,,HOND,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7510133,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-11 04:00:00+00:00,06:02:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT, ,,13,Liable - System,2018-07-24 04:00:00+00:00,100.0,0,100.0,,4.0,,,,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,,,6.0,INFI,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7510932,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-11 04:00:00+00:00,06:31:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT, ,,,Other,,100.0,100,,,,,,,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,DC,1962.0,15.0,TOYT,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7510936,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-11 04:00:00+00:00,06:34:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT, ,,,Other,,100.0,200,100.0,,,,,,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,DC,1993.0,13.0,DODG,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7510972,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-11 04:00:00+00:00,07:30:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT, ,,,Other,,100.0,100,,,,,,,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,,,,TOYT,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7513211,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-11 04:00:00+00:00,02:18:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT, ,,,Other,,100.0,100,,,,,,,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,,,,HOND,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7513453,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-11 04:00:00+00:00,07:37:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T120,SPEED 16-20 MPH OVER THE SPEED LIMIT, ,,13,Liable - System,2018-07-24 04:00:00+00:00,150.0,0,150.0,,6.0,,,,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,,,15.0,HYUN,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7513459,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-12 04:00:00+00:00,06:51:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT, ,,13,Liable - System,2018-07-24 04:00:00+00:00,100.0,240,100.0,,4.0,,,,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,,,,BUIC,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7513460,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-12 04:00:00+00:00,08:49:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T120,SPEED 16-20 MPH OVER THE SPEED LIMIT, ,,,Other,,150.0,150,,,,,,,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,,,10.0,FORD,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7513461,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-12 04:00:00+00:00,09:13:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT, ,,,Other,,100.0,100,,,,,,20711000,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,,,,MERZ,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7513545,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-12 04:00:00+00:00,11:42:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT, ,,,Other,,100.0,100,,,,,,,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,,,18.0,CHEV,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7513941,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-12 04:00:00+00:00,12:37:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT, ,,13,Liable - System,2018-07-24 04:00:00+00:00,100.0,0,100.0,,4.0,,,,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,,,15.0,HYUN,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7514015,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-12 04:00:00+00:00,02:03:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT, ,,13,Liable - System,2018-07-24 04:00:00+00:00,100.0,0,100.0,,4.0,,,,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,DC,1983.0,12.0,AUDI,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7514978,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-12 04:00:00+00:00,04:46:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT, ,,13,Liable - System,2018-07-24 04:00:00+00:00,100.0,240,100.0,,4.0,,,,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,DC,1979.0,6.0,INFI,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7514997,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-12 04:00:00+00:00,05:06:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT, ,,,Other,,100.0,100,,,,,,,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,,,,TOYT,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7514998,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-12 04:00:00+00:00,05:07:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT, ,,,Other,,100.0,100,,,,,,,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,DC,1954.0,15.0,SUBA,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7515040,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-12 04:00:00+00:00,05:55:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT, ,,13,Liable - System,2018-07-24 04:00:00+00:00,100.0,240,100.0,,4.0,,,,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,DC,1992.0,12.0,BUIC,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7516023,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-12 04:00:00+00:00,07:56:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT, ,,,Other,,100.0,100,,,,,,,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,,,15.0,CHEV,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7517020,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-13 04:00:00+00:00,07:30:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT, ,,,Other,,100.0,100,,,,,,,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,DC,1984.0,15.0,TOYT,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7518388,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-13 04:00:00+00:00,03:39:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT, ,,,Other,,100.0,100,,,,,,,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,,,18.0,FORD,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7518802,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-13 04:00:00+00:00,05:54:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT, ,,11,Liable,2018-08-09 04:00:00+00:00,100.0,100,,,,,,,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,DC,1983.0,16.0,FORD,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7518942,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-14 04:00:00+00:00,06:56:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT, ,,13,Liable - System,2018-07-24 04:00:00+00:00,100.0,0,100.0,,4.0,,,,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,,,3.0,HYUN,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7518985,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-14 04:00:00+00:00,08:41:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT, ,,13,Liable - System,2018-07-24 04:00:00+00:00,100.0,0,100.0,,4.0,,,,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,,,,CHEV,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
['Academy of Hope Adult PCS [18th Place]'],0,0,1,0,1,5C,Cluster 22,"Brookland, Brentwood, Langdon",5C06,Ward 5,009102,UPPER NORTHEAST,7519027,2400 blk 18th St NE s/b,401799.22,139307.16,2018-05-14 04:00:00+00:00,09:44:00,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT, ,,,Other,,100.0,100,,,,,,,,38.922,-76.979,150388.0,2020-09-30 03:44:25+00:00,,,13.0,CHEV,0101000020E61000002DB29DEFA73E53C0BC74931804764340,38.922,-76.979,0.23301581,7890.0,2,41,2,Yes,BD,1,6,25.0,17.0,,18TH ST NE,133411,Collector,,,,,,
